Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2019,Kalimantan Tengah,Kab. Kapuas,11.45,0.84,4.96,,0.99,,1.75
2019,Kalimantan Tengah,Kab. Barito Utara,32.5,5.2,24,2,1.5,2,1.5
2019,Kalimantan Tengah,Kab. Sukamara,,,,,,,
2019,Kalimantan Tengah,Kab. Murung Raya,4,0.6,3,1,2,1,2
2019,Kalimantan Tengah,Kab. Barito Timur,5.6,,4.1,,1.2,0.4,0.5
2019,Kalimantan Tengah,Kota Palangkaraya,149.45,88.4,40,20.84,1,,45.39
2019,Kalimantan Selatan,Kab. Tanah Laut,30,1,3,1,1,1,3
2019,Kalimantan Selatan,Kab. Kotabaru,,,5.6,,,,
2019,Kalimantan Selatan,Kab. Barito Kuala,37.08,9.27,18.54,10,8,4,5
2019,Kalimantan Selatan,Kab. Tapin,59.3,1.89,5.92,2.14,2.65,2.05,1.35
2019,Kalimantan Selatan,Kab. Hulu Sungai Selatan,42.31,0.79,34.08,5.69,4.71,3.6,1.88
2019,Kalimantan Selatan,Kab. Hulu Sungai Tengah,11.52,1.53,6.83,2.04,2.35,7.65,0.53
2019,Kalimantan Selatan,Kab. Hulu Sungai Utara,2.9,0.3,22.6,1,5.45,0.01,2.53
2019,Kalimantan Selatan,Kab. Tanah Bumbu,120,4,50,,2,2,2
2019,Kalimantan Selatan,Kab. Balangan,24.73,5.05,9.26,6.15,2.53,3.78,1.24
2019,Kalimantan Selatan,Kota Banjarmasin,,,,,,,
2019,Kalimantan Selatan,Kota Banjarbaru,157.63,0.54,1.5,0.01,4.83,0.5,0.5
2019,Kalimantan Timur,Kab. Paser,89.69,2.24,10.09,5.61,2.24,2.24,
2019,Kalimantan Timur,Kab. Kutai Kartanegara,,,,,,,
2019,Kalimantan Timur,Kab. Berau,50.7,1.6,8.66,3.9,2.3,6,40
2019,Kalimantan Timur,Kab. Kutai Timur,,,,,,,
2019,Kalimantan Timur,Kab. Penajam Paser Utara,10,2.1,3.1,3,2,1,1
2019,Kalimantan Timur,Kota Balikpapan,332.09,8.9,29.26,41.46,21.6,6.19,19.12
2019,Kalimantan Timur,Kota Samarinda,,,,,,,
2019,Kalimantan Timur,Kota Bontang,79.69,3.67,5.86,,3.58,8.46,0.45
2019,Kalimantan Utara,Kab. Nunukan,,,,,,,
2019,Kalimantan Utara,Kota Tarakan,1.75,0.08,4.5,3.69,1.49,0.06,2
2019,Sulawesi Utara,Kab. Minahasa,,,,,,,
2019,Sulawesi Utara,Kab. Kepulauan Sangihe,,,,,,,
2019,Sulawesi Utara,Kab. Kepulauan Talaud,8.15,2.09,7.37,3.48,2.79,0.6,0.43
2019,Sulawesi Utara,Kab. Minahasa Selatan,,,,,,,
2019,Sulawesi Utara,Kab. Minahasa Utara,,,,,,,
2019,Sulawesi Utara,Kab. Minahasa Tenggara,,,,,,,
2019,Sulawesi Utara,Kab. Bolaang Mongondow Utara,30,10,10,20,10,10,10
2019,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,,,,,,
2019,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,,,,,,,
2019,Sulawesi Utara,Kota Bitung,,,,,,,
2019,Sulawesi Utara,Kota Tomohon,,,,,,,
2019,Sulawesi Utara,Kota Kotamobagu,35.2,3,10.9,7.2,3.1,,2.4
2019,Sulawesi Tengah,Kab. Banggai,,,,,,,
2019,Sulawesi Tengah,Kab. Poso,14.1,1.25,3.1,0.71,0.92,0.62,0.3
2019,Sulawesi Tengah,Kab. Donggala,3,0.5,2,1.5,1.6,1,1
2019,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2019,Sulawesi Selatan,Kab. Kepulauan Selayar,32,6,18,6,3,1.8,
2019,Sulawesi Selatan,Kab. Bulukumba,,,,,,,
2019,Sulawesi Selatan,Kab. Bantaeng,22.9,0.9,1.7,1.7,0.1,,2
2019,Sulawesi Selatan,Kab. Sinjai,95.73,0.9,1,1.5,3.94,3,0.3
2019,Sulawesi Selatan,Kab. Bone,186.5,33.3,72.3,28.5,22.2,15.9,11.1
2019,Sulawesi Selatan,Kab. Maros,6.5,1.17,0.65,0.58,1.38,,2.27
2019,Sulawesi Selatan,Kab. Pangkajene Kepulauan,,,,,,,
2019,Sulawesi Selatan,Kab. Barru,43.77,7.29,4.38,2.19,4.38,7.29,3.65
2019,Sulawesi Selatan,Kab. Wajo,26.92,0.75,7.67,1.59,0.3,0.28,18.21
2019,Sulawesi Selatan,Kab. Sidenreng Rappang,87.9,4.2,6.8,3.3,8.4,2.1,8.2
2019,Sulawesi Selatan,Kab. Enrekang,90,1,13,2,2.4,1,10
2019,Sulawesi Selatan,Kab. Luwu Utara,,,,,,,
2019,Sulawesi Selatan,Kab. Luwu Timur,44.8,11.2,22.4,11.2,5.6,5.6,16.8
2019,Sulawesi Selatan,Kota Pare Pare,31.8,5.7,16.2,8.8,2.8,6.4,1.6
2019,Sulawesi Selatan,Kota Palopo,4,0.04,7,6,0.04,8,
2019,Sulawesi Tenggara,Kab. Kolaka,65,2,13,5,10,1,4
2019,Sulawesi Tenggara,Kab. Konawe,,,,,,,
2019,Sulawesi Tenggara,Kab. Buton,,,,,,,
2019,Sulawesi Tenggara,Kab. Bombana,,0.1,4,,2,1,1
2019,Gorontalo,Kab. Gorontalo,4.6,0.4,0.2,0.4,0.8,0.7,0.5
2019,Gorontalo,Kab. Pohuwato,5.8,1.2,3.2,1.3,1.1,0.7,0.5
2019,Gorontalo,Kota Gorontalo,30,17,10,10,5,2,0
2019,Sulawesi Barat,Kab. Pasangkayu,,,,,,,
2019,Sulawesi Barat,Kab. Polewali Mandar,109.74,5.31,12.39,8.85,19.47,14.16,7.08
2019,Maluku,Kab. Maluku Tenggara,75,5,15,1,1,2,1
2019,Maluku,Kab. Buru Selatan,3.47,0.41,2.5,9.87,1.19,,1.04
2019,Maluku,Kota Ambon,56.16,10.8,43.2,30.24,25.92,7.05,8.64
2019,Maluku Utara,Kab. Halmahera Utara,,,,,,,
2019,Maluku Utara,Kota Ternate,37.7,4.7,10.1,7.7,4.4,3.5,4.2
2019,Maluku Utara,Kota Tidore Kepulauan,36.32,6.36,18.16,13.62,9.08,5.45,1.82
2019,Papua,Kab. Biak Numfor,29,3.64,9.75,3.08,3.57,6.62,
2019,Papua,Kab. Asmat,22,2,4,5,3,2,1
2019,Papua,Kota Jayapura,162.1,50.33,24.1,9.1,5,2,
2019,Papua Barat,Kab. Raja Ampat,0,0,0,0,0.6,,
2018,Papua Barat,Kab. Manokwari,121.9,,19.8,4.4,4.12,,
